ID,Title,Max/Mean,2013-12-11T00:00:00,2013-12-12T00:00:00,2013-12-13T00:00:00,2013-12-14T00:00:00,2013-12-15T00:00:00,2013-12-16T00:00:00,2013-12-17T00:00:00,2013-12-18T00:00:00,2013-12-19T00:00:00,2013-12-20T00:00:00,2013-12-21T00:00:00,2013-12-22T00:00:00,2013-12-23T00:00:00
5238024ae4b08583f464bc2a,Wolfenstein: The New Order,Max,29,56,1195,23,1087,79,359,68,751,219,1022,73,26
5238024ae4b08583f464bc2a,Wolfenstein: The New Order,Mean,8.652173913043478,12.5,131.7391304347826,5.043478260869565,83.95652173913044,13.454545454545455,31.565217391304348,5.318181818181818,63.47826086956522,17.5,106.47619047619048,15.26086956521739,6.086956521739131
51821ab2bd028659d3bdf6e5,Battlefield 4,Max,7556,160740,24572,15987,4258,19616,19761,20015,5502,6109,4950,3293,6672
51821ab2bd028659d3bdf6e5,Battlefield 4,Mean,1430.6521739130435,12943.636363636364,3700.217391304348,4150.782608695652,1149.391304347826,4343.727272727273,4112.869565217391,3398.8636363636365,1073.304347826087,792.85,979.2380952380952,848.7391304347826,1226.1739130434783
521fadc5e4b02c2d27ae597c,TitanFall,Max,1441,6780,6046,779,955,506,2467,1003,376,546,764,1564,1325
521fadc5e4b02c2d27ae597c,TitanFall,Mean,573.4347826086956,817.5909090909091,957.7826086956521,284.5217391304348,219.47826086956522,104.0909090909091,425.95652173913044,152.0909090909091,73.95652173913044,93.5,183.61904761904762,260.60869565217394,195.2173913043478
51821ab2bd028659d3bdf6e6,Call of Duty: Ghosts,Max,32032,36603,13774,16827,28568,24030,28792,23224,12954,18771,41503,59247,95292
51821ab2bd028659d3bdf6e6,Call of Duty: Ghosts,Mean,13022.347826086956,12755.136363636364,6991.695652173913,5191.434782608696,5387.04347826087,3831.7272727272725,4334.130434782609,5669.590909090909,5123.869565217391,6193.7,16094.285714285714,12820.565217391304,17836.478260869564
51821ab0bd028659d3bdf6d3,Dust 514,Max,119,172,24,49,15,18,216,61,26,26,52,18,26
51821ab0bd028659d3bdf6d3,Dust 514,Mean,36.391304347826086,27.227272727272727,9.565217391304348,11.521739130434783,6.217391304347826,6.5,27.26086956521739,16.181818181818183,11.521739130434783,8.1,9.285714285714286,6.565217391304348,9.869565217391305
51821ab1bd028659d3bdf6e1,Arma III,Max,29,39,25,28,18,20,40,621,27,43,25,17,30
51821ab1bd028659d3bdf6e1,Arma III,Mean,11.956521739130435,10.590909090909092,6.521739130434782,10.173913043478262,8.130434782608695,7.545454545454546,10.826086956521738,42.0,13.782608695652174,12.25,11.238095238095237,4.869565217391305,9.0
51d71d58a0b7f98b77677749,The Bureau: XCOM Declassified,Max,64,79,5,82,14,15,27,11,5,12,12,7,8
51d71d58a0b7f98b77677749,The Bureau: XCOM Declassified,Mean,6.0,6.545454545454546,1.5217391304347827,5.956521739130435,6.434782608695652,5.318181818181818,7.130434782608695,2.772727272727273,1.434782608695652,2.35,3.238095238095238,2.0434782608695654,2.4347826086956523
51821ab1bd028659d3bdf6e0,Metro: Last Light,Max,334,39,32,24,1910,22,42,38,42,130,1819,33,31
51821ab1bd028659d3bdf6e0,Metro: Last Light,Mean,40.95652173913044,12.136363636363637,10.869565217391305,8.043478260869565,254.30434782608697,10.136363636363637,13.217391304347826,17.318181818181817,12.869565217391305,23.25,268.5238095238095,11.173913043478262,9.0
51d7223ba0b7f98b8f61332e,Killzone: Mercenary,Max,11,12,9,6,17,14,20,19,23,135,9,1370,108
51d7223ba0b7f98b8f61332e,Killzone: Mercenary,Mean,3.869565217391304,2.590909090909091,2.0,2.1739130434782608,5.782608695652174,3.9545454545454546,5.130434782608695,4.318181818181818,3.0869565217391304,8.9,3.3333333333333335,196.43478260869566,36.91304347826087
51d71d58a0b7f98b77677746,Payday 2,Max,999,2126,1822,958,1414,1852,4943,4480,1004,3812,2079,1361,1033
51d71d58a0b7f98b77677746,Payday 2,Mean,258.9130434782609,313.1363636363636,391.0869565217391,224.30434782608697,302.60869565217394,251.1818181818182,758.9565217391304,733.0909090909091,215.17391304347825,359.5,409.23809523809524,370.0869565217391,378.17391304347825
51d7190ea0b7f98b6ed0cd90,Rise of the Triad,Max,2,4,8,5,6,8,8,2,55,36,12,104,18
51d7190ea0b7f98b6ed0cd90,Rise of the Triad,Mean,0.5652173913043478,0.6818181818181818,1.2173913043478262,0.7391304347826086,0.782608695652174,1.1818181818181819,0.6956521739130435,0.2727272727272727,10.217391304347826,5.6,2.0,13.391304347826088,3.5652173913043477
52a42fe4e4b0a4119d8db981,No Man's Sky,Max,484,415,127474,126,134,171,41,9,52,325,89,18,12
52a42fe4e4b0a4119d8db981,No Man's Sky,Mean,195.2608695652174,101.27272727272727,5577.913043478261,18.565217391304348,17.565217391304348,20.09090909090909,8.0,2.8636363636363638,5.130434782608695,22.0,8.238095238095237,2.1739130434782608,1.4782608695652173
526570dbe4b0b7869c95ba8e,Dead Trigger 2,Max,21,15,15,9,15,87,14,101,95,47,19,25,12
526570dbe4b0b7869c95ba8e,Dead Trigger 2,Mean,4.739130434782608,5.454545454545454,5.739130434782608,4.304347826086956,5.695652173913044,10.363636363636363,4.695652173913044,26.90909090909091,27.565217391304348,16.4,7.714285714285714,6.956521739130435,5.739130434782608
526e0f13e4b0f372b91686bb,Deus Ex: Human Revolution - Director's Cut,Max,12,24,42,17,13,12,22,11,207,44,33,59,46
526e0f13e4b0f372b91686bb,Deus Ex: Human Revolution - Director's Cut,Mean,4.0,4.818181818181818,6.956521739130435,5.478260869565218,4.173913043478261,4.454545454545454,5.478260869565218,2.8636363636363638,20.565217391304348,10.95,8.523809523809524,20.08695652173913,7.6521739130434785
527209d1e4b076b8d243ef5f,Resogun,Max,25,35,7,10,7,1,6,11,18,7,3,5,1
527209d1e4b076b8d243ef5f,Resogun,Mean,2.869565217391304,2.5,0.34782608695652173,0.6086956521739131,0.5217391304347826,0.18181818181818182,1.1304347826086956,1.2272727272727273,1.0434782608695652,0.65,0.5238095238095238,0.34782608695652173,0.043478260869565216
528b1afee4b0b33de7a6c44b,Destiny,Max,1778,908,891,356,911,39,695,1119,888,881,1846,112,121
528b1afee4b0b33de7a6c44b,Destiny,Mean,268.4347826086956,106.0909090909091,56.608695652173914,43.608695652173914,65.1304347826087,9.136363636363637,65.43478260869566,301.0,65.21739130434783,52.2,105.0,9.478260869565217,11.521739130434783
